,Currency,Date,Open,High,Low,Close,Volume,Market.Cap,date
159,kin,11-Feb-18,0.000298,0.000299,0.000232,0.000261,"459,251","225,044,000",11-Feb
160,komodo,11-Feb-18,4.29,4.29,3.75,3.96,"1,922,750","442,684,000",11-Feb
161,komodo,11-Feb-17,0.109282,0.124497,0.10797,0.116169,"43,869","10,991,400",11-Feb
162,kucoin-shares,11-Feb-18,5.63,5.63,5.07,5.22,"1,236,640","512,969,000",11-Feb
163,kyber-network,11-Feb-18,3.2,3.2,2.79,2.79,"10,079,100","429,807,000",11-Feb
164,lisk,11-Feb-18,27.35,27.35,23.36,25.28,"58,193,200","3,225,830,000",11-Feb
165,lisk,11-Feb-17,0.147314,0.154154,0.145912,0.150625,"59,644","15,171,900",11-Feb
166,litecoin,11-Feb-18,155.39,155.73,142.61,148.99,"495,720,000","8,571,530,000",11-Feb
167,litecoin,11-Feb-17,3.78,3.8,3.77,3.79,"3,340,840","187,849,000",11-Feb
168,litecoin,11-Feb-16,3.11,3.13,3.07,3.08,"1,263,660","138,300,000",11-Feb
169,litecoin,11-Feb-15,1.76,1.79,1.72,1.73,"1,202,390","64,008,900",11-Feb
170,litecoin,11-Feb-14,17.76,18.69,16.77,17.46,"16,089,200","454,561,000",11-Feb
171,loopring,11-Feb-18,0.657918,0.660492,0.598792,0.609097,"1,884,400","369,225,000",11-Feb
172,maidsafecoin,11-Feb-18,0.409823,0.421231,0.371091,0.396102,"1,948,960","185,466,000",11-Feb
173,maidsafecoin,11-Feb-17,0.159972,0.173745,0.154475,0.166701,"975,530","72,395,700",11-Feb
174,maidsafecoin,11-Feb-16,0.02827,0.048751,0.026828,0.034367,"1,688,700","12,793,700",11-Feb
175,maidsafecoin,11-Feb-15,0.028344,0.029142,0.02808,0.028921,"2,475","12,827,200",11-Feb
176,maker,11-Feb-18,1062.9,1062.9,970.87,987.8,"643,665","657,111,000",11-Feb
177,medibloc,11-Feb-18,0.043789,0.043789,0.035511,0.037517,"1,616,090","129,894,000",11-Feb
178,medishares,11-Feb-18,0.176418,0.181759,0.162569,0.167015,"7,019,380","85,123,700",11-Feb
179,melon,11-Feb-18,110.34,110.34,98.5,103.58,"213,206","66,135,100",11-Feb
180,metal,11-Feb-18,4.2,4.2,3.57,3.75,"6,247,940","81,100,200",11-Feb
181,mobilego,11-Feb-18,0.676972,0.685893,0.626965,0.641683,"125,608","66,362,800",11-Feb
182,modum,11-Feb-18,3.27,3.27,2.89,3.09,"523,678","59,718,800",11-Feb
183,monaco,11-Feb-18,7.32,7.73,6.54,7.3,"3,856,140","96,590,900",11-Feb
184,monacoin,11-Feb-18,4.28,4.28,3.8,3.86,"3,160,760","245,128,000",11-Feb
185,monacoin,11-Feb-17,0.029543,0.031448,0.02816,0.029454,676,"1,343,800",11-Feb
186,monacoin,11-Feb-16,0.061397,0.062378,0.060032,0.060349,"2,566","1,765,350",11-Feb
187,monacoin,11-Feb-15,0.07259,0.07771,0.051437,0.07771,"5,264","1,192,700",11-Feb
188,monero,11-Feb-18,249.44,249.44,219.23,229.49,"51,680,100","3,917,970,000",11-Feb
189,monero,11-Feb-17,11.98,12.39,11.98,12.24,"2,190,900","166,808,000",11-Feb
190,monero,11-Feb-16,0.479195,0.595656,0.477212,0.516381,"227,183","5,260,650",11-Feb
191,monero,11-Feb-15,0.244507,0.251757,0.228287,0.231497,"23,085","1,512,250",11-Feb
192,nav-coin,11-Feb-18,1.56,2.01,1.45,1.77,"16,219,400","97,169,900",11-Feb
193,nav-coin,11-Feb-17,0.0398,0.040897,0.03932,0.040169,"13,237","2,413,880",11-Feb
194,nav-coin,11-Feb-16,0.003071,0.003083,0.002938,0.002942,79,"183,055",11-Feb
195,nav-coin,11-Feb-15,0.005565,0.006711,0.004963,0.005525,"5,864","322,377",11-Feb
196,neblio,11-Feb-18,11.7,12.04,10.32,10.82,"2,325,390","149,761,000",11-Feb
197,nebulas-token,11-Feb-18,8.43,8.6,7.28,7.97,"6,111,070","299,395,000",11-Feb
198,nem,11-Feb-18,0.589823,0.589823,0.514947,0.52864,"28,515,100","5,308,410,000",11-Feb
199,nem,11-Feb-17,0.006335,0.006992,0.006284,0.006992,"180,360","57,016,000",11-Feb
200,nem,11-Feb-16,0.000535,0.000566,0.000496,0.000506,"21,143","4,813,170",11-Feb
201,neo,11-Feb-18,110.45,113.19,96.78,103.4,"257,944,000","7,179,000,000",11-Feb
202,neo,11-Feb-17,0.125788,0.127159,0.122483,0.125607,743,"6,289,400",11-Feb
203,nexus,11-Feb-18,3.13,3.13,2.72,2.72,"899,605","173,920,000",11-Feb
204,nexus,11-Feb-17,0.09986,0.116583,0.099118,0.104403,"9,747","4,670,310",11-Feb
205,nexus,11-Feb-16,0.001584,0.00159,0.001566,0.001583,103,"52,446",11-Feb
207,nuls,11-Feb-18,2.65,2.65,2.18,2.34,"4,760,860","62,444,900",11-Feb
208,nxt,11-Feb-18,0.194102,0.194102,0.174233,0.180034,"4,624,030","193,908,000",11-Feb
209,nxt,11-Feb-17,0.009015,0.009257,0.008534,0.008821,"338,777","9,006,020",11-Feb
210,nxt,11-Feb-16,0.008204,0.008542,0.00805,0.008129,"56,149","8,203,800",11-Feb
211,nxt,11-Feb-15,0.010755,0.011217,0.010559,0.010854,"14,972","10,755,000",11-Feb
212,nxt,11-Feb-14,0.048255,0.051272,0.04428,0.047029,"179,848","48,255,000",11-Feb
213,omisego,11-Feb-18,12.54,12.67,11.06,11.86,"29,981,600","1,279,750,000",11-Feb
214,oyster,11-Feb-18,1.12,1.13,0.809146,0.9616,"2,383,150","77,287,100",11-Feb
215,paccoin,11-Feb-18,0.000035,0.000035,0.000028,0.000032,"293,119","90,863,900",11-Feb
218,particl,11-Feb-18,25.58,25.58,21.36,22.01,"410,388","226,775,000",11-Feb
219,paypie,11-Feb-18,1.4,1.85,0.965492,1.51,"317,141","115,678,000",11-Feb
220,peercoin,11-Feb-18,3.51,3.53,3.29,3.37,"563,977","86,287,000",11-Feb
221,peercoin,11-Feb-17,0.289654,0.298406,0.286514,0.293367,"15,786","6,912,830",11-Feb
222,peercoin,11-Feb-16,0.413516,0.416208,0.406455,0.409117,"17,914","9,501,780",11-Feb
223,peercoin,11-Feb-15,0.377154,0.37861,0.347874,0.351753,"124,581","8,325,960",11-Feb
224,peercoin,11-Feb-14,4.54,4.85,4.25,4.51,"1,694,750","95,949,200",11-Feb
225,pillar,11-Feb-18,1.15,1.31,1.04,1.2,"575,856","261,915,000",11-Feb
226,pivx,11-Feb-18,6.1,6.1,5.29,5.52,"3,446,230","338,943,000",11-Feb
227,pivx,11-Feb-17,0.018534,0.02688,0.017975,0.026742,"21,982","954,412",11-Feb
228,poet,11-Feb-18,0.058157,0.071941,0.051761,0.060047,"19,738,600","128,918,000",11-Feb
230,populous,11-Feb-18,25.88,26.4,22.81,24.13,"11,475,600","957,595,000",11-Feb
231,power-ledger,11-Feb-18,0.778334,0.778334,0.645612,0.701544,"8,826,600","283,187,000",11-Feb
232,qash,11-Feb-18,0.867828,0.874084,0.790082,0.839732,"3,854,840","303,740,000",11-Feb
233,qlink,11-Feb-18,0.222134,0.243308,0.184666,0.222182,"808,828","53,312,200",11-Feb
234,qtum,11-Feb-18,30.21,30.21,26.26,27.48,"258,212,000","2,231,910,000",11-Feb
235,quantstamp,11-Feb-18,0.289954,0.298813,0.251406,0.27891,"4,751,690","178,993,000",11-Feb
236,quantum-resistant-ledger,11-Feb-18,1.42,1.42,1.23,1.28,"500,527","73,751,900",11-Feb
237,raiblocks,11-Feb-18,9.49,9.57,8.08,8.31,"25,861,000","1,264,390,000",11-Feb
