,Currency,Date,Open,High,Low,Close,Volume,Market.Cap,date
299,triggers,11-Feb-18,1.89,1.89,1.67,1.78,"1,289,300","60,528,200",11-Feb
300,triggers,11-Feb-17,0.008999,0.010107,0.008354,0.009201,"3,753","288,917",11-Feb
301,trinity-network-credit,11-Feb-18,0.195466,0.217691,0.174423,0.193886,"3,377,090","65,155,400",11-Feb
302,tron,11-Feb-18,0.048564,0.048564,0.040066,0.042401,"273,583,000","3,192,980,000",11-Feb
303,ubiq,11-Feb-18,2.79,2.79,2.42,2.47,"234,573","110,454,000",11-Feb
305,ubiq,11-Feb-16,0.022132,0.022218,0.02144,0.021625,14,"77,948",11-Feb
306,ubiq,11-Feb-15,0.005896,0.006575,0.00447,0.006182,96,"19,690",11-Feb
307,ucash,11-Feb-18,0.019063,0.241182,0.006097,0.206966,"2,441,640","164,132,000",11-Feb
308,unikoin-gold,11-Feb-18,0.432688,0.432688,0.378844,0.391257,"693,858","60,759,400",11-Feb
309,utrust,11-Feb-18,0.278067,0.302117,0.249041,0.271803,"1,784,760","73,720,600",11-Feb
310,vechain,11-Feb-18,4.38,4.38,3.74,3.97,"44,862,300","2,061,420,000",11-Feb
311,verge,11-Feb-18,0.056624,0.056624,0.04886,0.051087,"15,679,700","825,599,000",11-Feb
312,verge,11-Feb-17,0.000029,0.000031,0.00002,0.000022,531,"376,265",11-Feb
313,verge,11-Feb-16,0.000027,0.000037,0.000027,0.000031,"15,670","258,753",11-Feb
314,verge,11-Feb-15,0.000004,0.000006,0.000004,0.000004,88,"28,685",11-Feb
315,veritaseum,11-Feb-18,278.61,283.2,253.79,272,"132,946","567,436,000",11-Feb
316,vertcoin,11-Feb-18,3.32,3.32,2.88,3.06,"1,392,620","142,414,000",11-Feb
317,vertcoin,11-Feb-17,0.048416,0.052538,0.047629,0.049571,"21,697","1,608,620",11-Feb
318,vertcoin,11-Feb-16,0.043462,0.046204,0.042019,0.043521,"17,858","985,205",11-Feb
319,vertcoin,11-Feb-15,0.015004,0.017569,0.014396,0.014404,767,"182,251",11-Feb
